insee,nom,wikipedia,surf_ha,cx,cy
40130,Labastide-Chalosse,fr:Labastide-Chalosse,457,-0.6128239830057342,43.61269627793082
40138,Lacrabe,fr:Lacrabe,635,-0.5925087183819668,43.613753724918986
40198,Morganx,fr:Morganx,526,-0.5734210893232671,43.60142519502201
40190,Monségur,fr:Monségur (Landes),1981,-0.5361678333376589,43.60986484724127
40119,Hagetmau,fr:Hagetmau,2864,-0.5997757034613043,43.64875831951582
40252,Sainte-Colombe,fr:Sainte-Colombe (Landes),1290,-0.5586032262689643,43.681565556869565
40089,Doazit,fr:Doazit,2244,-0.6453387302434799,43.69156729604862
40121,Hauriet,fr:Hauriet,753,-0.6934427799919993,43.73250462056353
40318,Toulouzette,fr:Toulouzette,1165,-0.6764960624927281,43.75480107914255
40191,Montaut,fr:Montaut (Landes),1414,-0.6566854078580048,43.7284127321829
40024,Banos,fr:Banos,577,-0.6199245236698029,43.72951459490835
40128,Horsarrieu,fr:Horsarrieu,1108,-0.6009174137019336,43.68680037498842
40092,Dumes,fr:Dumes,246,-0.5819086532311483,43.704194455785064
40017,Audignon,fr:Audignon,940,-0.5907756043397818,43.723400757437254
40098,Eyres-Moncube,fr:Eyres-Moncube,1221,-0.5550651650629166,43.716073251082086
40282,Saint-Sever,fr:Saint-Sever,4671,-0.5608645604968624,43.75673977499555
40286,Samadet,fr:Samadet,2627,-0.499539987404549,43.632616246155465
40298,Serres-Gaston,fr:Serres-Gaston,894,-0.5220737912359894,43.66362411294804
40016,Aubagnan,fr:Aubagnan,344,-0.4929999748554624,43.66455258768386
40029,Bats,fr:Bats (Landes),739,-0.4629277905357996,43.6573319995062
40239,Puyol-Cazalet,fr:Puyol-Cazalet,464,-0.3988211340559665,43.60493295784296
40219,Payros-Cazautets,fr:Payros-Cazautets,637,-0.39608361259850144,43.627814347601
40083,Clèdes,fr:Clèdes,687,-0.3745754361086827,43.607284494894635
40110,Geaune,fr:Geaune,1048,-0.36137506128729463,43.63156939418304
40321,Urgons,fr:Urgons,1162,-0.43290552672157784,43.63892730257652
40072,Castelnau-Tursan,fr:Castelnau-Tursan,934,-0.40362271530353105,43.65093569376336
40220,Pécorade,fr:Pécorade,421,-0.36467996173278794,43.652532784739755
40086,Coudures,fr:Coudures,1173,-0.5046284582683878,43.68650489461256
40289,Sarraziet,fr:Sarraziet,713,-0.48945193785488533,43.70281810262691
40325,Vielle-Tursan,fr:Vielle-Tursan,1284,-0.4609777775423914,43.685788432512666
40099,Fargues,fr:Fargues (Landes),1189,-0.4525601782455491,43.721186252205044
40196,Montsoué,fr:Montsoué,1796,-0.5102813880766924,43.735227116716345
40195,Montgaillard,fr:Montgaillard (Landes),2059,-0.4795696122361395,43.75583567826029
40270,Saint-Loubouer,fr:Saint-Loubouer,1693,-0.42457544166171984,43.67892757511912
40057,Buanes,fr:Buanes,665,-0.42316026130677525,43.717591449190515
40097,Eugénie-les-Bains,fr:Eugénie-les-Bains,1108,-0.38287114307372727,43.69364603791077
40082,Classun,fr:Classun,892,-0.3911683278059638,43.71854793285042
40145,Larrivière-Saint-Savin,fr:Larrivière-Saint-Savin,1682,-0.42270004987287363,43.75334975584759
40240,Renung,fr:Renung,2220,-0.3698900465596766,43.74633980763659
40143,Lamothe,fr:Lamothe (Landes),1268,-0.6639835198404331,43.798028894772344
40076,Cauna,fr:Cauna,1294,-0.6438506695734884,43.779331521864634
40153,Le Leuy,fr:Le Leuy,946,-0.6541399465172251,43.8209878858626
40020,Aurice,fr:Aurice,1745,-0.5966968727125707,43.810348979792636
40026,Bas-Mauco,fr:Bas-Mauco,1148,-0.5539081509467154,43.79661516294968
40122,Haut-Mauco,fr:Haut-Mauco,1883,-0.5553826783163761,43.83283544678021
40180,Meilhan,fr:Meilhan (Landes),3915,-0.705573024236037,43.84949741291199
40061,Campagne,fr:Campagne (Landes),3391,-0.6350909645742812,43.86225391524324
40274,Saint-Martin-d'Oney,fr:Saint-Martin-d'Oney,3436,-0.6509797102114381,43.9276746137809
40280,Saint-Perdon,fr:Saint-Perdon,3044,-0.5837589733824289,43.87739115719866
40062,Campet-et-Lamolère,fr:Campet-et-Lamolère,1870,-0.6020708821772289,43.91878998239761
40320,Uchacq-et-Parentis,fr:Uchacq-et-Parentis,3853,-0.5468233454569885,43.941422737736346
